,image,name,price,link,color,brand,gender
110,http://clarks.scene7.com/is/image/clarks/26124911_AZ?$prod_list$,Keesha Rosa,$100.00,http://www.clarksusa.com/us/womens/womens-flats/keesha-rosa-dusty-pink-leather/p/26124911,Dusty Pink Leather,Clarks,w
111,http://clarks.scene7.com/is/image/clarks/26122516_AZ?$prod_list$,Ashland Bubble,$85.00,http://www.clarksusa.com/us/womens/womens-flats/ashland-bubble-pewter-leather/p/26122516,Pewter Leather,Clarks,w
112,http://clarks.scene7.com/is/image/clarks/26125578_AZ?$prod_list$,Delana Fenela,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/delana-fenela-light-tan-snake-print-leather/p/26125578,Light Tan Snake Print Leather,Clarks,w
113,http://clarks.scene7.com/is/image/clarks/26111150_AZ?$prod_list$,Blanche Nora,$90.00,http://www.clarksusa.com/us/womens/womens-flats/blanche-nora-black-leather/p/26111150,Black Leather,Clarks,w
114,http://clarks.scene7.com/is/image/clarks/26124414_AZ?$prod_list$,Everlay Bai,$95.00,http://www.clarksusa.com/us/womens-collections/womens-collection/everlay-bai-blue-leather/p/26124414,Blue Leather,Clarks,w
115,http://clarks.scene7.com/is/image/clarks/26124989_AZ?$prod_list$,Everlay Bai,$95.00,http://www.clarksusa.com/us/womens-collections/womens-collection/everlay-bai-red-leather/p/26124989,Red Leather,Clarks,w
116,http://clarks.scene7.com/is/image/clarks/26124402_AZ?$prod_list$,Medora Elie,$95.00,http://www.clarksusa.com/us/womens-collections/womens-collection/medora-elie-red-leather/p/26124402,Red Leather,Clarks,w
117,http://clarks.scene7.com/is/image/clarks/26125572_AZ?$prod_list$,Everlay Bai,$95.00,http://www.clarksusa.com/us/womens-collections/womens-collection/everlay-bai-sand-leather/p/26125572,Sand Leather,Clarks,w
118,http://clarks.scene7.com/is/image/clarks/26125216_AZ?$prod_list$,Briatta Tempo,$120.00,http://www.clarksusa.com/us/womens/womens-heels/briatta-tempo-khaki-leather/p/26125216,Khaki Leather,Clarks,w
119,http://clarks.scene7.com/is/image/clarks/26125892_AZ?$prod_list$,Sillian Stork,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/sillian-stork-sand-synthetic-nubuck/p/26125892,Sand Synthetic Nubuck,Clarks,w
120,http://clarks.scene7.com/is/image/clarks/26125079_AZ?$prod_list$,Aisley Tulip,$120.00,http://www.clarksusa.com/us/womens/womens-sandals/womens-sandals-wedge/aisley-tulip-gold-metallic-leather/p/26125079,Gold Metallic Leather,Clarks,w
